Date,Close
16-01-2023,15.02
17-01-2023,14.59
18-01-2023,14.37
19-01-2023,13.96
20-01-2023,13.79
23-01-2023,13.62
24-01-2023,13.66
25-01-2023,14.66
27-01-2023,17.32
30-01-2023,17.71
31-01-2023,16.88
01-02-2023,16.78
02-02-2023,15.73
03-02-2023,14.4
06-02-2023,14.69
07-02-2023,14.13
08-02-2023,13.6
09-02-2023,13.04
10-02-2023,12.75
13-02-2023,13.68
14-02-2023,13.45
15-02-2023,12.86
16-02-2023,12.89
17-02-2023,13.09
20-02-2023,13.38
21-02-2023,14.01
22-02-2023,15.59
23-02-2023,15.08
24-02-2023,14.19
27-02-2023,13.88
28-02-2023,14.02
01-03-2023,13
02-03-2023,12.97
03-03-2023,12.18
06-03-2023,12.27
08-03-2023,12.45
09-03-2023,12.73
10-03-2023,13.41
13-03-2023,16.22
14-03-2023,16.22
15-03-2023,16.3
16-03-2023,16.22
17-03-2023,14.77
20-03-2023,16.01
21-03-2023,15.08
22-03-2023,14.81
23-03-2023,14.49
24-03-2023,15.24
27-03-2023,15.45
28-03-2023,15.1
29-03-2023,13.63
31-03-2023,12.94
03-04-2023,12.59
05-04-2023,12.41
06-04-2023,11.8
10-04-2023,12.27
11-04-2023,11.98
12-04-2023,12.27
13-04-2023,11.91
17-04-2023,12.27
18-04-2023,12.08
19-04-2023,12.15
20-04-2023,11.94
21-04-2023,11.63
24-04-2023,11.67
25-04-2023,11.52
26-04-2023,11.65
27-04-2023,11.43
28-04-2023,10.95
02-05-2023,11.9
03-05-2023,11.84
04-05-2023,11.73
05-05-2023,12.3
08-05-2023,12.64
09-05-2023,12.68
10-05-2023,13.08
11-05-2023,13.22
12-05-2023,12.85
15-05-2023,13.17
16-05-2023,13.29
17-05-2023,13.11
18-05-2023,12.8
19-05-2023,12.3
22-05-2023,12.57
23-05-2023,12.61
24-05-2023,13.11
25-05-2023,12.52
26-05-2023,11.9
29-05-2023,12.3
30-05-2023,12.01
31-05-2023,11.97
01-06-2023,11.6
02-06-2023,11.13
05-06-2023,11.14
06-06-2023,11.38
07-06-2023,11.44
08-06-2023,11.26
09-06-2023,11.12
12-06-2023,11.25
13-06-2023,11.11
14-06-2023,11.16
15-06-2023,11.08
16-06-2023,10.84
19-06-2023,11.23
20-06-2023,11.13
21-06-2023,11.29
22-06-2023,11.55
23-06-2023,11.24
26-06-2023,11.4
27-06-2023,10.78
30-06-2023,10.8
03-07-2023,11.54
04-07-2023,11.7
05-07-2023,11.88
06-07-2023,11.84
07-07-2023,11.53
10-07-2023,11.46
11-07-2023,11.01
12-07-2023,10.94
13-07-2023,10.94
14-07-2023,10.68
17-07-2023,11.32
18-07-2023,11.71
19-07-2023,11.6
20-07-2023,11.79
21-07-2023,11.49
24-07-2023,11.65
25-07-2023,10.24
26-07-2023,10.46
27-07-2023,10.51
28-07-2023,10.14
31-07-2023,10.41
01-08-2023,10.28
02-08-2023,11.28
03-08-2023,11.19
04-08-2023,10.57
07-08-2023,11.1
08-08-2023,11.33
09-08-2023,11.14
10-08-2023,11.4
11-08-2023,11.52
14-08-2023,12
16-08-2023,12.13
17-08-2023,12.24
18-08-2023,12.14
21-08-2023,11.96
22-08-2023,11.75
23-08-2023,11.73
24-08-2023,11.7
25-08-2023,12.08
28-08-2023,12.4
29-08-2023,12.23
30-08-2023,11.8
31-08-2023,12.06
01-09-2023,11.37
04-09-2023,10.96
05-09-2023,10.82
06-09-2023,10.68
07-09-2023,10.87
08-09-2023,10.78
11-09-2023,11.35
12-09-2023,11.69
13-09-2023,11.83
14-09-2023,11.32
15-09-2023,10.9
18-09-2023,10.84
20-09-2023,11.13
21-09-2023,10.82
22-09-2023,10.66
25-09-2023,10.9
26-09-2023,11.19
27-09-2023,11.59
28-09-2023,12.82
29-09-2023,11.45
03-10-2023,11.79
04-10-2023,11.66
05-10-2023,10.94
06-10-2023,10.3
09-10-2023,11.4
10-10-2023,11.27
11-10-2023,10.99
12-10-2023,10.62
13-10-2023,10.62
16-10-2023,11.07
17-10-2023,10.7
18-10-2023,10.97
19-10-2023,10.9
20-10-2023,10.82
23-10-2023,10.91
25-10-2023,11.31
26-10-2023,11.73
27-10-2023,10.91
30-10-2023,11.49
31-10-2023,11.83
01-11-2023,12.05
02-11-2023,11.08
03-11-2023,10.88
06-11-2023,11.11
07-11-2023,11.19
08-11-2023,11.04
09-11-2023,10.98
10-11-2023,11.11
13-11-2023,11.19
15-11-2023,11.14
16-11-2023,11.65
17-11-2023,11.83
20-11-2023,12.15
21-11-2023,12.23
22-11-2023,11.87
23-11-2023,11.32
24-11-2023,11.33
28-11-2023,12.18
29-11-2023,12.71
30-11-2023,12.69
01-12-2023,12.38
04-12-2023,12.99
05-12-2023,13.46
06-12-2023,13.74
07-12-2023,12.67
08-12-2023,12.47
11-12-2023,12.76
12-12-2023,12.71
13-12-2023,12.07
14-12-2023,12.32
15-12-2023,13.13
18-12-2023,13.9
19-12-2023,13.87
20-12-2023,14.45
21-12-2023,13.76
22-12-2023,13.71
26-12-2023,14.68
27-12-2023,15.56
28-12-2023,15.14
29-12-2023,14.5
01-01-2024,14.68
02-01-2024,14.58
03-01-2024,14.1
04-01-2024,13.33
05-01-2024,12.63
08-01-2024,13.46
09-01-2024,13.26
10-01-2024,12.97
11-01-2024,12.77
12-01-2024,13.1
